user_id,user_level
102372501,C级达人
107919476,0交易达人
10807185,F级达人
110756401,0交易达人
114566612,本月新增达人
11778147,本月新增达人
117971908,F级达人
11863973,0交易达人
121849228,F级达人
12326414,E级达人
129877930,F级达人
130681157,F级达人
13285496,C级达人
134041224,C级达人
135434066,F级达人
13632822,F级达人
13650990,A级达人
137528730,F级达人
13891015,F级达人
13944976,F级达人
14495986,本月新增达人
15168696,A级达人
15177732,C级达人
15293212,F级达人
153213186,F级达人
15534613,F级达人
15563333,C级达人
156700379,F级达人
159141581,D级达人
159928154,0交易达人
163601654,0交易达人
166430805,F级达人
16695923,C级达人
166977051,E级达人
167219191,F级达人
16855273,0交易达人
171776759,0交易达人
172065613,本月新增达人
174022352,F级达人
174251273,本月新增达人
175195686,本月新增达人
176005672,本月新增达人
176043638,本月新增达人
176338662,本月新增达人
176467596,本月新增达人
18313174,F级达人
18871392,E级达人
22222828,本月新增达人
23443038,F级达人
24053976,本月新增达人
25036018,C级达人
25780580,F级达人
26504930,F级达人
27686267,D级达人
27861284,F级达人
32322591,F级达人
33394609,F级达人
33680169,F级达人
33752204,F级达人
34432002,0交易达人
35574830,E级达人
37067661,F级达人
38175346,F级达人
38686542,C级达人
38719346,本月新增达人
39317363,F级达人
39667664,0交易达人
39701001,C级达人
41098709,E级达人
41816160,C级达人
42529744,F级达人
45288926,E级达人
45951199,0交易达人
46118914,本月新增达人
47304153,F级达人
48471037,C级达人
50184357,F级达人
50203157,D级达人
50544439,F级达人
53549838,F级达人
54793691,F级达人
56082724,C级达人
56863592,C级达人
5879436,A级达人
5914447,E级达人
6232160,F级达人
67068380,F级达人
67816174,0交易达人
67848951,F级达人
7129008,F级达人
72028725,F级达人
83064855,F级达人
8546686,S级达人
85820646,F级达人
87315756,E级达人
89027009,D级达人
9413182,本月新增达人
95931635,F级达人
96131241,F级达人
9814605,B级达人
98168863,F级达人
107483860,F级达人
112390878,F级达人
114927934,C级达人
115097566,F级达人
118372212,0交易达人
119372020,F级达人
119631492,F级达人
121253702,F级达人
12227900,E级达人
122620206,A级达人
126341221,B级达人
127460593,E级达人
12881859,本月新增达人
12888397,C级达人
134932993,0交易达人
145566438,F级达人
15215726,F级达人
15300677,0交易达人
153933894,F级达人
155673096,D级达人
156661103,0交易达人
157417793,0交易达人
15832989,F级达人
162166722,F级达人
165368123,0交易达人
165707585,F级达人
168656380,F级达人
16888849,E级达人
169213232,F级达人
171932692,0交易达人
17266894,F级达人
173022138,F级达人
174293322,本月新增达人
175293568,本月新增达人
175438683,本月新增达人
175517391,本月新增达人
175625458,本月新增达人
176418342,本月新增达人
176487752,本月新增达人
18179481,E级达人
18263152,B级达人
19186618,F级达人
19647378,F级达人
19947402,F级达人
20060430,C级达人
20162012,E级达人
20172515,D级达人
22057465,B级达人
